PCode,REGION,DISTRICT,Code_CSREF,STRUCTURE,PCODE2,TYPE,DATE OUVERTURE,NBRE VILLAGE,DISTANCE,ACCESSIBILITE,Source,obs,Longitude,Latitude
ML03R02C003,SIKASSO,BOUGOUNI,ML03R02,BANZANA,ML03R02C003,CSCOM,1-Jun-2006,9,100,OUI,OMS Survey,,-7.253,10.52
ML07R02C001,GAO,ANSONGO,ML07R02,BARA,ML07R02C001,CSCOM,15-Jul-1999,5,30,OUI,OMS Survey,,0.328968481,15.8123366
ML04R07C001,SEGOU,SAN,ML04R07,BARAMANDOUGOU,ML04R07C001,CSCOM,1-Jul-1995,10,75,NON,OMS Survey,,-4.593326024,13.5968856
,SIKASSO,Koutiala,,BARAMBA,0,CSCOM,,,,,Cluster Nutrition,,-5.453467,12.582667
ML05R06C003,MOPTI,KORO,ML05R06,BARAPIRELI,ML05R06C003,CSCOM,3-Nov-2011,11,30,OUI,OMS Survey,,-3.055460023,14.30749985
ML05R06C004,MOPTI,KORO,ML05R06,BARGOU,ML05R06C004,CSCOM,7-Dec-2002,7,,,OMS Survey,,-2.96756,13.93973
ML07R03C005,GAO,BOUREM,ML07R03,BARIA,ML07R03C005,CSCOM,25-Jul-2010,2,90,OUI,OMS Survey,,-0.295833333,16.87861111
ML04R02C002,SEGOU,BAROUELI,ML04R02,BAROUELI CENT0AL,ML04R02C002,CSCOM,1-Jan-2000,20,2,OUI,OMS Survey,,-6.835304026,13.07049535
ML04R02C000,SEGOU,BAROUELI,ML04R02,BAROUELI CSREF,ML04R02C000,CSRef,1-Jan-2011,0,100,,OMS Survey,,-6.835304026,13.07049535
ML01R01C005,KAYES,KAYES,ML01R01,BATAMA,ML01R01C005,CSCOM,1-Sep-2004,6,65,NON,OMS Survey,,-10.91159,14.68835
ML05R03C002,MOPTI,BANKASS,ML05R03,BAYE,ML05R03C002,CSCOM,20-Jul-1998,7,62,OUI,OMS Survey,,-3.368951273,13.6228801
ML01R04C001,KAYES,KENIEBA,ML01R04,BAYE KENIEBA,ML01R04C001,CSCOM,1-Dec-2007,11,86,OUI,OMS Survey,,-10.79416,12.71072
